Visitor/Neutral;PTS;Home/Neutral;PTS
Atlanta Hawks;100;Miami Heat;92
San Antonio Spurs;96;Minnesota Timberwolves;106
Indiana Pacers;108;New Jersey Nets;94
Toronto Raptors;90;New York Knicks;85
Golden State Warriors;91;Phoenix Suns;102
New Orleans Hornets;90;Utah Jazz;94
Atlanta Hawks;74;Chicago Bulls;76
Charlotte Bobcats;101;Cleveland Cavaliers;115
Houston Rockets;99;Los Angeles Lakers;108
Sacramento Kings;96;Memphis Grizzlies;113
Portland Trail Blazers;103;Oklahoma City Thunder;93
Milwaukee Bucks;73;Utah Jazz;85
New Jersey Nets;70;Boston Celtics;89
Phoenix Suns;89;Dallas Mavericks;98
Sacramento Kings;83;Denver Nuggets;110
Chicago Bulls;99;Detroit Pistons;83
Houston Rockets;89;Los Angeles Clippers;117
Indiana Pacers;83;Miami Heat;118
Memphis Grizzlies;90;Minnesota Timberwolves;86
Philadelphia 76ers;101;New Orleans Hornets;93
Charlotte Bobcats;118;New York Knicks;110
Washington Wizards;85;Orlando Magic;103
Golden State Warriors;95;San Antonio Spurs;101
Cleveland Cavaliers;77;Toronto Raptors;92
Miami Heat;116;Atlanta Hawks;109
Los Angeles Lakers;96;Portland Trail Blazers;107
Milwaukee Bucks;100;Sacramento Kings;103
Dallas Mavericks;71;San Antonio Spurs;93
Indiana Pacers;87;Boston Celtics;74
Atlanta Hawks;102;Charlotte Bobcats;96
Golden State Warriors;90;Los Angeles Lakers;97
Cleveland Cavaliers;98;Minnesota Timberwolves;87
Denver Nuggets;96;New Orleans Hornets;88
Houston Rockets;94;Oklahoma City Thunder;109
Chicago Bulls;97;Orlando Magic;83
Detroit Pistons;73;Philadelphia 76ers;96
Portland Trail Blazers;77;Phoenix Suns;102
New Jersey Nets;97;Toronto Raptors;85
Memphis Grizzlies;85;Utah Jazz;94
New York Knicks;99;Washington Wizards;96
Chicago Bulls;94;Atlanta Hawks;109
New Orleans Hornets;81;Dallas Mavericks;96
New York Knicks;103;Detroit Pistons;80
Utah Jazz;88;Golden State Warriors;87
Oklahoma City Thunder;98;Houston Rockets;95
Charlotte Bobcats;77;Indiana Pacers;99
Milwaukee Bucks;86;Los Angeles Clippers;92
Miami Heat;101;New Jersey Nets;90
Toronto Raptors;62;Philadelphia 76ers;97
Denver Nuggets;117;San Antonio Spurs;121
Memphis Grizzlies;82;Los Angeles Lakers;90
San Antonio Spurs;96;Oklahoma City Thunder;108
Milwaukee Bucks;93;Phoenix Suns;109
Cleveland Cavaliers;78;Portland Trail Blazers;98
Orlando Magic;104;Sacramento Kings;97
Minnesota Timberwolves;93;Washington Wizards;72
Detroit Pistons;68;Chicago Bulls;92
New Orleans Hornets;94;Denver Nuggets;81
Atlanta Hawks;106;New Jersey Nets;101
Charlotte Bobcats;87;New York Knicks;91
Indiana Pacers;86;Philadelphia 76ers;96
Minnesota Timberwolves;87;Toronto Raptors;97
Houston Rockets;82;Charlotte Bobcats;70
Dallas Mavericks;100;Detroit Pistons;86
Miami Heat;106;Golden State Warriors;111
Phoenix Suns;83;Los Angeles Lakers;99
Oklahoma City Thunder;100;Memphis Grizzlies;95
San Antonio Spurs;103;Milwaukee Bucks;106
Chicago Bulls;111;Minnesota Timberwolves;100
Sacramento Kings;85;Philadelphia 76ers;112
Los Angeles Clippers;97;Portland Trail Blazers;105
Cleveland Cavaliers;105;Utah Jazz;113
Toronto Raptors;78;Washington Wizards;93
Dallas Mavericks;90;Boston Celtics;85
Washington Wizards;64;Chicago Bulls;78
New Jersey Nets;115;Denver Nuggets;123
Atlanta Hawks;84;Indiana Pacers;96
Miami Heat;89;Los Angeles Clippers;95
Oklahoma City Thunder;95;New Orleans Hornets;85
Philadelphia 76ers;79;New York Knicks;85
Orlando Magic;107;Portland Trail Blazers;104
Houston Rockets;95;San Antonio Spurs;101
Sacramento Kings;98;Toronto Raptors;91
Los Angeles Lakers;90;Utah Jazz;87
Charlotte Bobcats;81;Atlanta Hawks;111
Orlando Magic;117;Golden State Warriors;109
New York Knicks;83;Memphis Grizzlies;94
Detroit Pistons;93;Milwaukee Bucks;102
Cleveland Cavaliers;101;Phoenix Suns;90
Chicago Bulls;88;Boston Celtics;79
Detroit Pistons;98;Charlotte Bobcats;81
Milwaukee Bucks;76;Dallas Mavericks;102
Miami Heat;104;Denver Nuggets;117
Sacramento Kings;89;Houston Rockets;103
Cleveland Cavaliers;92;Los Angeles Lakers;97
Minnesota Timberwolves;87;New Orleans Hornets;80
Washington Wizards;89;Philadelphia 76ers;120
New Jersey Nets;110;Phoenix Suns;103
Portland Trail Blazers;83;San Antonio Spurs;99
Indiana Pacers;95;Toronto Raptors;90
Minnesota Timberwolves;91;Atlanta Hawks;93
Golden State Warriors;100;Charlotte Bobcats;112
Toronto Raptors;64;Chicago Bulls;77
Sacramento Kings;60;Dallas Mavericks;99
Portland Trail Blazers;105;Houston Rockets;107
Boston Celtics;83;Indiana Pacers;97
Los Angeles Lakers;94;Los Angeles Clippers;102
New Orleans Hornets;99;Memphis Grizzlies;108
New York Knicks;92;Oklahoma City Thunder;104
New Jersey Nets;94;Utah Jazz;107
Philadelphia 76ers;103;Washington Wizards;90
Utah Jazz;106;Denver Nuggets;96
Golden State Warriors;99;Detroit Pistons;91
Phoenix Suns;91;San Antonio Spurs;102
Toronto Raptors;84;Atlanta Hawks;93
Oklahoma City Thunder;97;Boston Celtics;88
Cleveland Cavaliers;102;Charlotte Bobcats;94
New Jersey Nets;91;Los Angeles Clippers;101
Dallas Mavericks;70;Los Angeles Lakers;73
Chicago Bulls;86;Memphis Grizzlies;102
Sacramento Kings;86;Minnesota Timberwolves;99
Portland Trail Blazers;84;New Orleans Hornets;77
Orlando Magic;102;New York Knicks;93
Milwaukee Bucks;82;Philadelphia 76ers;94
Houston Rockets;114;Washington Wizards;106
Phoenix Suns;97;Chicago Bulls;118
Golden State Warriors;105;Cleveland Cavaliers;95
Detroit Pistons;80;Houston Rockets;97
San Antonio Spurs;98;Miami Heat;120
Denver Nuggets;105;Milwaukee Bucks;95
Charlotte Bobcats;89;Orlando Magic;96
Los Angeles Clippers;79;Utah Jazz;108
Portland Trail Blazers;89;Atlanta Hawks;92
Toronto Raptors;73;Boston Celtics;96
Dallas Mavericks;89;Los Angeles Clippers;91
Detroit Pistons;85;Minnesota Timberwolves;93
Golden State Warriors;100;New Jersey Nets;107
Memphis Grizzlies;93;New Orleans Hornets;87
Phoenix Suns;91;New York Knicks;88
San Antonio Spurs;85;Orlando Magic;83
Denver Nuggets;108;Philadelphia 76ers;104
Indiana Pacers;88;Sacramento Kings;92
Oklahoma City Thunder;102;Washington Wizards;105
New Orleans Hornets;88;Houston Rockets;90
Los Angeles Lakers;87;Miami Heat;98
Dallas Mavericks;94;Utah Jazz;91
Phoenix Suns;79;Boston Celtics;71
Chicago Bulls;114;Cleveland Cavaliers;75
Memphis Grizzlies;98;Detroit Pistons;81
Indiana Pacers;94;Golden State Warriors;91
Minnesota Timberwolves;101;Los Angeles Clippers;98
Milwaukee Bucks;100;New York Knicks;86
Los Angeles Lakers;80;Orlando Magic;92
Atlanta Hawks;76;Philadelphia 76ers;90
Sacramento Kings;88;San Antonio Spurs;86
Portland Trail Blazers;94;Toronto Raptors;84
Denver Nuggets;108;Washington Wizards;104
Cleveland Cavaliers;94;Atlanta Hawks;121
Charlotte Bobcats;89;Chicago Bulls;95
Portland Trail Blazers;91;Detroit Pistons;94
San Antonio Spurs;102;Houston Rockets;105
Sacramento Kings;95;Memphis Grizzlies;128
Philadelphia 76ers;92;Miami Heat;113
Oklahoma City Thunder;84;New Jersey Nets;74
Dallas Mavericks;83;New Orleans Hornets;81
Denver Nuggets;119;New York Knicks;114
Minnesota Timberwolves;98;Utah Jazz;108
Toronto Raptors;91;Los Angeles Clippers;103
Indiana Pacers;98;Los Angeles Lakers;96
Milwaukee Bucks;91;Miami Heat;82
Charlotte Bobcats;87;New Jersey Nets;97
Boston Celtics;100;Washington Wizards;94
Orlando Magic;56;Boston Celtics;87
New Jersey Nets;95;Chicago Bulls;110
Phoenix Suns;87;Dallas Mavericks;93
Memphis Grizzlies;91;Golden State Warriors;90
Atlanta Hawks;97;Milwaukee Bucks;92
Houston Rockets;107;Minnesota Timberwolves;92
San Antonio Spurs;104;New Orleans Hornets;102
Detroit Pistons;79;Oklahoma City Thunder;99
Washington Wizards;83;Philadelphia 76ers;103
Sacramento Kings;89;Portland Trail Blazers;101
New York Knicks;111;Charlotte Bobcats;78
Orlando Magic;102;Indiana Pacers;83
Cleveland Cavaliers;85;Miami Heat;92
Toronto Raptors;99;Phoenix Suns;96
Memphis Grizzlies;84;Portland Trail Blazers;97
Indiana Pacers;95;Chicago Bulls;90
New York Knicks;81;Cleveland Cavaliers;91
Minnesota Timberwolves;105;Dallas Mavericks;90
Miami Heat;101;Detroit Pistons;98
Portland Trail Blazers;93;Golden State Warriors;101
Milwaukee Bucks;105;Houston Rockets;99
Los Angeles Clippers;91;Los Angeles Lakers;96
New Orleans Hornets;91;Oklahoma City Thunder;101
New Jersey Nets;97;Philadelphia 76ers;90
Denver Nuggets;122;Sacramento Kings;93
Atlanta Hawks;83;San Antonio Spurs;105
Toronto Raptors;111;Utah Jazz;106
Charlotte Bobcats;75;Washington Wizards;92
Memphis Grizzlies;91;Los Angeles Clippers;98
Boston Celtics;91;Orlando Magic;83
Indiana Pacers;87;Boston Celtics;94
Milwaukee Bucks;100;Chicago Bulls;107
New Jersey Nets;99;Cleveland Cavaliers;96
Utah Jazz;101;Dallas Mavericks;116
Toronto Raptors;81;Denver Nuggets;96
Atlanta Hawks;107;Detroit Pistons;101
Oklahoma City Thunder;120;Golden State Warriors;109
Washington Wizards;76;Houston Rockets;103
New York Knicks;89;Miami Heat;99
San Antonio Spurs;79;Minnesota Timberwolves;87
Orlando Magic;67;New Orleans Hornets;93
Charlotte Bobcats;72;Philadelphia 76ers;89
Phoenix Suns;71;Portland Trail Blazers;109
Washington Wizards;102;Charlotte Bobcats;99
New York Knicks;84;Houston Rockets;97
Los Angeles Lakers;89;Milwaukee Bucks;100
Detroit Pistons;74;Philadelphia 76ers;95
Memphis Grizzlies;84;Phoenix Suns;86
Sacramento Kings;93;Utah Jazz;96
Cleveland Cavaliers;88;Boston Celtics;87
San Antonio Spurs;100;Dallas Mavericks;101
Los Angeles Clippers;109;Denver Nuggets;105
Chicago Bulls;93;Miami Heat;97
Los Angeles Lakers;106;Minnesota Timberwolves;101
Toronto Raptors;94;New Jersey Nets;73
Atlanta Hawks;94;New Orleans Hornets;72
Indiana Pacers;106;Orlando Magic;85
Minnesota Timberwolves;120;Houston Rockets;108
Oklahoma City Thunder;100;Los Angeles Clippers;112
San Antonio Spurs;83;Memphis Grizzlies;73
New Orleans Hornets;95;Miami Heat;109
Detroit Pistons;82;Milwaukee Bucks;103
Orlando Magic;69;Philadelphia 76ers;74
Dallas Mavericks;122;Phoenix Suns;99
Portland Trail Blazers;89;Utah Jazz;93
Chicago Bulls;98;Washington Wizards;88
Boston Celtics;93;Cleveland Cavaliers;90
Sacramento Kings;90;Golden State Warriors;93
New Jersey Nets;99;Indiana Pacers;106
Charlotte Bobcats;73;Los Angeles Lakers;106
Denver Nuggets;97;Memphis Grizzlies;100
Detroit Pistons;86;New York Knicks;113
Atlanta Hawks;100;Toronto Raptors;77
Toronto Raptors;64;Boston Celtics;100
Oklahoma City Thunder;95;Dallas Mavericks;86
Miami Heat;97;Milwaukee Bucks;105
Indiana Pacers;109;Minnesota Timberwolves;99
Detroit Pistons;96;New Jersey Nets;99
Phoenix Suns;120;New Orleans Hornets;103
Washington Wizards;103;Orlando Magic;109
Chicago Bulls;82;Philadelphia 76ers;98
Charlotte Bobcats;68;Portland Trail Blazers;112
Houston Rockets;91;San Antonio Spurs;99
Los Angeles Clippers;107;Utah Jazz;105
Memphis Grizzlies;96;Atlanta Hawks;77
Utah Jazz;101;Golden State Warriors;119
Denver Nuggets;112;Los Angeles Clippers;91
Chicago Bulls;105;New York Knicks;102
Portland Trail Blazers;92;Sacramento Kings;95
New Orleans Hornets;81;San Antonio Spurs;93
New York Knicks;89;Boston Celtics;91
Indiana Pacers;98;Dallas Mavericks;87
Los Angeles Lakers;93;Denver Nuggets;89
Milwaukee Bucks;80;Detroit Pistons;88
Phoenix Suns;81;Houston Rockets;99
Minnesota Timberwolves;108;New Jersey Nets;105
Memphis Grizzlies;94;Oklahoma City Thunder;101
Cleveland Cavaliers;94;Orlando Magic;102
Miami Heat;99;Philadelphia 76ers;79
Washington Wizards;89;Toronto Raptors;106
Philadelphia 76ers;98;Atlanta Hawks;87
Dallas Mavericks;88;Cleveland Cavaliers;91
New Orleans Hornets;87;Detroit Pistons;89
Orlando Magic;85;Indiana Pacers;81
Chicago Bulls;113;Milwaukee Bucks;90
Houston Rockets;91;Minnesota Timberwolves;100
New Jersey Nets;92;New York Knicks;99
Charlotte Bobcats;89;Phoenix Suns;95
Denver Nuggets;97;Portland Trail Blazers;117
Golden State Warriors;106;Sacramento Kings;114
Oklahoma City Thunder;96;San Antonio Spurs;107
Los Angeles Lakers;87;Utah Jazz;96
Los Angeles Clippers;107;Washington Wizards;81
Memphis Grizzlies;80;Boston Celtics;98
Toronto Raptors;89;Miami Heat;95
Phoenix Suns;99;Atlanta Hawks;90
Houston Rockets;99;Denver Nuggets;90
San Antonio Spurs;89;Memphis Grizzlies;84
Chicago Bulls;108;New Jersey Nets;87
Sacramento Kings;100;New Orleans Hornets;92
Utah Jazz;88;New York Knicks;99
Los Angeles Clippers;107;Orlando Magic;102
Los Angeles Lakers;90;Philadelphia 76ers;95
Oklahoma City Thunder;111;Portland Trail Blazers;107
Toronto Raptors;108;Washington Wizards;111
Charlotte Bobcats;84;Boston Celtics;94
Oklahoma City Thunder;119;Golden State Warriors;116
Utah Jazz;99;Indiana Pacers;104
Cleveland Cavaliers;91;Miami Heat;107
Phoenix Suns;107;Milwaukee Bucks;105
Sacramento Kings;84;Minnesota Timberwolves;86
Indiana Pacers;87;Atlanta Hawks;97
Los Angeles Clippers;92;Cleveland Cavaliers;99
Dallas Mavericks;105;Denver Nuggets;95
Minnesota Timberwolves;80;Memphis Grizzlies;85
Detroit Pistons;99;New Jersey Nets;92
Chicago Bulls;90;New Orleans Hornets;67
Miami Heat;89;Orlando Magic;102
San Antonio Spurs;100;Philadelphia 76ers;90
Houston Rockets;103;Portland Trail Blazers;96
Milwaukee Bucks;105;Toronto Raptors;99
New York Knicks;107;Washington Wizards;93
Los Angeles Lakers;88;Boston Celtics;87
Golden State Warriors;109;Denver Nuggets;101
Houston Rockets;96;Phoenix Suns;89
Oklahoma City Thunder;101;Sacramento Kings;106
Chicago Bulls;95;Charlotte Bobcats;64
Milwaukee Bucks;113;Cleveland Cavaliers;112
New Jersey Nets;92;Detroit Pistons;109
Indiana Pacers;92;Memphis Grizzlies;98
Dallas Mavericks;104;Minnesota Timberwolves;97
Portland Trail Blazers;94;New Orleans Hornets;86
Los Angeles Lakers;85;New York Knicks;92
Atlanta Hawks;89;Orlando Magic;87
Los Angeles Clippers;78;Philadelphia 76ers;77
Boston Celtics;74;Toronto Raptors;86
Oklahoma City Thunder;101;Utah Jazz;87
Miami Heat;106;Washington Wizards;89
Los Angeles Clippers;111;Charlotte Bobcats;86
Philadelphia 76ers;99;Cleveland Cavaliers;84
Portland Trail Blazers;94;Dallas Mavericks;97
Denver Nuggets;113;Indiana Pacers;109
Orlando Magic;99;Milwaukee Bucks;94
New York Knicks;100;Minnesota Timberwolves;98
San Antonio Spurs;103;New Jersey Nets;89
Phoenix Suns;98;Sacramento Kings;84
Miami Heat;107;Atlanta Hawks;87
Chicago Bulls;91;Boston Celtics;95
Washington Wizards;98;Detroit Pistons;77
Houston Rockets;97;Golden State Warriors;106
Utah Jazz;98;Memphis Grizzlies;88
Los Angeles Lakers;94;Toronto Raptors;92
Philadelphia 76ers;98;Charlotte Bobcats;89
Los Angeles Clippers;92;Dallas Mavericks;96
Phoenix Suns;96;Golden State Warriors;102
Miami Heat;114;Milwaukee Bucks;96
Utah Jazz;80;New Orleans Hornets;86
Minnesota Timberwolves;89;Orlando Magic;102
Sacramento Kings;115;Chicago Bulls;121
Phoenix Suns;92;Denver Nuggets;109
San Antonio Spurs;99;Detroit Pistons;95
Miami Heat;105;Indiana Pacers;90
Atlanta Hawks;78;Los Angeles Lakers;86
Houston Rockets;83;Memphis Grizzlies;93
Utah Jazz;85;Oklahoma City Thunder;111
Washington Wizards;124;Portland Trail Blazers;109
New York Knicks;90;Toronto Raptors;87
Detroit Pistons;98;Boston Celtics;88
Indiana Pacers;87;Cleveland Cavaliers;98
Denver Nuggets;84;Dallas Mavericks;102
Portland Trail Blazers;93;Golden State Warriors;91
Oklahoma City Thunder;95;Houston Rockets;96
Washington Wizards;84;Los Angeles Clippers;102
New Orleans Hornets;92;Milwaukee Bucks;89
Charlotte Bobcats;90;Minnesota Timberwolves;102
Memphis Grizzlies;105;New Jersey Nets;100
Sacramento Kings;85;New York Knicks;100
Philadelphia 76ers;87;Orlando Magic;103
Atlanta Hawks;101;Phoenix Suns;99
San Antonio Spurs;113;Toronto Raptors;106
Boston Celtics;80;Chicago Bulls;89
New Jersey Nets;88;Indiana Pacers;93
Los Angeles Clippers;74;Portland Trail Blazers;71
Miami Heat;111;Cleveland Cavaliers;87
Sacramento Kings;108;Detroit Pistons;114
Minnesota Timberwolves;111;Houston Rockets;98
Phoenix Suns;99;Los Angeles Lakers;111
Denver Nuggets;102;Memphis Grizzlies;103
New Orleans Hornets;89;New York Knicks;85
Golden State Warriors;87;Oklahoma City Thunder;110
Milwaukee Bucks;85;Orlando Magic;94
Dallas Mavericks;82;Philadelphia 76ers;75
Charlotte Bobcats;98;Toronto Raptors;91
Washington Wizards;100;Utah Jazz;114
New Jersey Nets;97;Chicago Bulls;85
San Antonio Spurs;103;Los Angeles Clippers;100
Golden State Warriors;103;Memphis Grizzlies;104
Atlanta Hawks;77;Portland Trail Blazers;97
Sacramento Kings;92;Cleveland Cavaliers;93
Boston Celtics;81;Detroit Pistons;96
Utah Jazz;85;Houston Rockets;101
Charlotte Bobcats;73;Indiana Pacers;108
Orlando Magic;78;Miami Heat;90
Philadelphia 76ers;91;Minnesota Timberwolves;92
Milwaukee Bucks;92;New Jersey Nets;85
Dallas Mavericks;97;New York Knicks;104
Denver Nuggets;118;Oklahoma City Thunder;124
Los Angeles Lakers;90;Phoenix Suns;102
Atlanta Hawks;79;Chicago Bulls;90
Boston Celtics;73;Dallas Mavericks;89
Minnesota Timberwolves;101;Denver Nuggets;103
Los Angeles Clippers;97;Golden State Warriors;104
Memphis Grizzlies;93;Houston Rockets;97
Portland Trail Blazers;92;Los Angeles Lakers;103
Orlando Magic;93;Milwaukee Bucks;90
New Jersey Nets;100;New York Knicks;92
New Orleans Hornets;93;Oklahoma City Thunder;101
Washington Wizards;88;Phoenix Suns;104
San Antonio Spurs;106;Utah Jazz;102
Detroit Pistons;100;Cleveland Cavaliers;101
New Orleans Hornets;108;Indiana Pacers;117
Philadelphia 76ers;76;Memphis Grizzlies;89
Sacramento Kings;108;Miami Heat;120
San Antonio Spurs;97;Portland Trail Blazers;137
Indiana Pacers;102;Charlotte Bobcats;88
Milwaukee Bucks;91;Chicago Bulls;110
New Orleans Hornets;89;Cleveland Cavaliers;84
Los Angeles Lakers;96;Dallas Mavericks;91
Philadelphia 76ers;87;Houston Rockets;93
Denver Nuggets;95;Los Angeles Clippers;103
Utah Jazz;98;Minnesota Timberwolves;100
Orlando Magic;108;New Jersey Nets;91
Atlanta Hawks;82;New York Knicks;99
Boston Celtics;104;Oklahoma City Thunder;119
Golden State Warriors;106;Phoenix Suns;104
Detroit Pistons;93;Toronto Raptors;103
Sacramento Kings;115;Washington Wizards;107
Orlando Magic;78;Atlanta Hawks;83
San Antonio Spurs;114;Denver Nuggets;99
New York Knicks;88;Miami Heat;102
Los Angeles Lakers;85;Oklahoma City Thunder;100
New Orleans Hornets;95;Chicago Bulls;99
Boston Celtics;86;Cleveland Cavaliers;83
New Jersey Nets;93;Dallas Mavericks;92
Philadelphia 76ers;97;Detroit Pistons;68
Toronto Raptors;85;Houston Rockets;88
Golden State Warriors;78;Indiana Pacers;102
Minnesota Timberwolves;109;Los Angeles Clippers;97
Washington Wizards;118;Milwaukee Bucks;119
Utah Jazz;96;Sacramento Kings;103
Golden State Warriors;85;Atlanta Hawks;82
Milwaukee Bucks;96;Boston Celtics;102
Portland Trail Blazers;95;Denver Nuggets;104
Charlotte Bobcats;94;Detroit Pistons;109
Minnesota Timberwolves;85;Los Angeles Lakers;104
Dallas Mavericks;85;Memphis Grizzlies;96
Toronto Raptors;95;New Orleans Hornets;84
Cleveland Cavaliers;103;New York Knicks;120
Oklahoma City Thunder;92;Philadelphia 76ers;88
Chicago Bulls;96;San Antonio Spurs;89
Houston Rockets;83;Utah Jazz;104
Orlando Magic;102;Washington Wizards;95
Oklahoma City Thunder;105;Orlando Magic;102
Minnesota Timberwolves;95;Phoenix Suns;104
Miami Heat;107;Portland Trail Blazers;93
Los Angeles Clippers;108;Sacramento Kings;100
Milwaukee Bucks;94;Atlanta Hawks;99
New Jersey Nets;94;Boston Celtics;107
Chicago Bulls;112;Cleveland Cavaliers;91
Denver Nuggets;117;Houston Rockets;105
Sacramento Kings;107;Los Angeles Lakers;115
Dallas Mavericks;92;New Orleans Hornets;97
Golden State Warriors;83;Philadelphia 76ers;105
Los Angeles Clippers;78;Phoenix Suns;81
Charlotte Bobcats;72;San Antonio Spurs;102
Memphis Grizzlies;102;Toronto Raptors;99
Miami Heat;98;Utah Jazz;99
Oklahoma City Thunder;90;Atlanta Hawks;97
Utah Jazz;96;Dallas Mavericks;102
Detroit Pistons;83;Memphis Grizzlies;100
Indiana Pacers;102;New Orleans Hornets;84
Milwaukee Bucks;98;Orlando Magic;114
Minnesota Timberwolves;122;Portland Trail Blazers;110
Cleveland Cavaliers;98;Washington Wizards;101
New York Knicks;111;Boston Celtics;115
New Jersey Nets;104;Charlotte Bobcats;101
Los Angeles Clippers;105;Houston Rockets;103
Miami Heat;83;Los Angeles Lakers;93
Chicago Bulls;96;Philadelphia 76ers;91
Sacramento Kings;88;Phoenix Suns;96
Denver Nuggets;99;San Antonio Spurs;94
Golden State Warriors;75;Toronto Raptors;83
Indiana Pacers;72;Chicago Bulls;92
Utah Jazz;109;Cleveland Cavaliers;100
Sacramento Kings;116;Denver Nuggets;119
Philadelphia 76ers;93;Milwaukee Bucks;97
Los Angeles Clippers;94;Minnesota Timberwolves;95
Dallas Mavericks;91;Oklahoma City Thunder;95
New Orleans Hornets;74;Portland Trail Blazers;86
Orlando Magic;92;Toronto Raptors;88
Golden State Warriors;120;Washington Wizards;100
Houston Rockets;92;Boston Celtics;97
Orlando Magic;84;Charlotte Bobcats;100
New York Knicks;85;Dallas Mavericks;95
Los Angeles Lakers;85;Detroit Pistons;88
Atlanta Hawks;101;Indiana Pacers;96
New Jersey Nets;78;Miami Heat;108
Utah Jazz;99;Charlotte Bobcats;93
Cleveland Cavaliers;100;Denver Nuggets;99
Memphis Grizzlies;110;Golden State Warriors;92
Atlanta Hawks;86;Miami Heat;89
Chicago Bulls;106;Milwaukee Bucks;104
Portland Trail Blazers;94;Minnesota Timberwolves;106
Los Angeles Clippers;100;New Jersey Nets;101
Phoenix Suns;104;Oklahoma City Thunder;115
Boston Celtics;71;Philadelphia 76ers;103
New Orleans Hornets;98;Sacramento Kings;99
New York Knicks;105;San Antonio Spurs;118
Houston Rockets;98;Toronto Raptors;116
Los Angeles Lakers;101;Washington Wizards;106
Orlando Magic;99;Chicago Bulls;94
Dallas Mavericks;94;Phoenix Suns;96
Portland Trail Blazers;86;Boston Celtics;104
New Jersey Nets;83;Charlotte Bobcats;74
New Orleans Hornets;97;Denver Nuggets;110
Atlanta Hawks;85;Detroit Pistons;86
New York Knicks;114;Milwaukee Bucks;119
Los Angeles Lakers;105;Minnesota Timberwolves;102
Cleveland Cavaliers;96;Oklahoma City Thunder;90
Utah Jazz;91;Philadelphia 76ers;104
Dallas Mavericks;97;Sacramento Kings;110
Los Angeles Clippers;120;San Antonio Spurs;108
Utah Jazz;97;Chicago Bulls;111
Toronto Raptors;86;Detroit Pistons;105
Dallas Mavericks;87;Golden State Warriors;111
Indiana Pacers;91;Miami Heat;93
New Orleans Hornets;95;Minnesota Timberwolves;89
Houston Rockets;112;New Jersey Nets;106
Charlotte Bobcats;95;Oklahoma City Thunder;122
Memphis Grizzlies;91;Phoenix Suns;98
