Team;eFG%;TOV%;ORB%;FT/FGA;eFG%;TOV%;DRB%;FT/FGA
Oklahoma City Thunder*;0.527;14.4;26.7;0.28;0.469;13.5;73.4;0.197
Miami Heat*;0.552;13.7;22.2;0.224;0.487;14.8;73;0.2
San Antonio Spurs*;0.531;14;20.5;0.204;0.48;13.7;74.9;0.179
Los Angeles Clippers*;0.526;13.9;28.8;0.203;0.492;15.4;73.5;0.229
Denver Nuggets*;0.515;13.6;31.4;0.216;0.493;14.3;71.8;0.193
Memphis Grizzlies*;0.472;13.3;31;0.202;0.475;15.2;74.3;0.209
New York Knicks*;0.515;11.7;25.6;0.196;0.508;14.8;74.7;0.216
Houston Rockets*;0.525;14.9;26.4;0.232;0.502;13.5;75.2;0.196
Indiana Pacers*;0.479;14.3;30.3;0.219;0.453;12.9;74.6;0.197
Los Angeles Lakers*;0.512;13.9;27;0.239;0.496;11.9;74.3;0.163
Golden State Warriors*;0.506;14;25.4;0.201;0.486;12.4;75.5;0.211
Brooklyn Nets*;0.498;14;30.9;0.219;0.503;13.1;73.7;0.174
Utah Jazz;0.492;13.8;28.8;0.214;0.501;14;73.2;0.226
Chicago Bulls*;0.47;13.6;29.4;0.201;0.477;13.2;73.6;0.206
Atlanta Hawks*;0.517;14.2;22.2;0.174;0.496;14.2;73.6;0.181
Dallas Mavericks;0.506;13;21.8;0.192;0.492;13.3;73.1;0.227
Boston Celtics*;0.503;14.1;20.1;0.204;0.482;14.2;73.3;0.216
Milwaukee Bucks*;0.476;12.7;27.9;0.174;0.492;14.4;71.3;0.201
Minnesota Timberwolves;0.473;13.8;27.4;0.226;0.511;15;74;0.187
Toronto Raptors;0.488;13;25.5;0.216;0.5;13.6;73.4;0.247
Portland Trail Blazers;0.498;13.9;25.3;0.194;0.512;12.5;73.3;0.189
Washington Wizards;0.475;14.2;24.6;0.191;0.483;13.7;74.6;0.206
New Orleans Hornets;0.489;14;29.2;0.193;0.52;13.1;74.4;0.208
Philadelphia 76ers;0.481;12.5;24.9;0.146;0.495;13.7;73.4;0.2
Sacramento Kings;0.491;13.4;26.6;0.208;0.517;13.6;71;0.227
Detroit Pistons;0.487;14.3;28.3;0.197;0.505;13.1;73;0.209
Cleveland Cavaliers;0.473;13;28.1;0.2;0.523;14.4;72.6;0.225
Phoenix Suns;0.477;14.3;27;0.174;0.512;14.2;71.9;0.208
Orlando Magic;0.485;13.7;25.4;0.149;0.508;11.8;74.6;0.195
Charlotte Bobcats;0.46;13.2;25.7;0.233;0.524;13.2;71.1;0.197
