Visitor/Neutral;PTS;Home/Neutral;PTS
Oklahoma City Thunder;109;Boston Celtics;94
Portland Trail Blazers;130;Denver Nuggets;113
Indiana Pacers;81;Miami Heat;75
Houston Rockets;113;Minnesota Timberwolves;101
Los Angeles Lakers;102;New Orleans Pelicans;109
Orlando Magic;97;New York Knicks;95
Brooklyn Nets;104;Phoenix Suns;112
Detroit Pistons;103;Washington Wizards;107
Philadelphia 76ers;70;Dallas Mavericks;123
Brooklyn Nets;99;Golden State Warriors;107
Sacramento Kings;110;Memphis Grizzlies;111
Chicago Bulls;100;Toronto Raptors;93
Miami Heat;103;Atlanta Hawks;114
Cleveland Cavaliers;122;Boston Celtics;121
Philadelphia 76ers;87;Houston Rockets;88
Denver Nuggets;108;Indiana Pacers;87
San Antonio Spurs;93;Los Angeles Lakers;80
Minnesota Timberwolves;91;New Orleans Pelicans;139
Utah Jazz;102;New York Knicks;100
Detroit Pistons;96;Oklahoma City Thunder;89
Milwaukee Bucks;85;Orlando Magic;101
Charlotte Hornets;103;Phoenix Suns;95
Indiana Pacers;99;Chicago Bulls;90
Atlanta Hawks;94;Cleveland Cavaliers;127
Minnesota Timberwolves;117;Dallas Mavericks;131
Charlotte Hornets;87;Golden State Warriors;112
Phoenix Suns;107;Los Angeles Clippers;120
Detroit Pistons;88;Memphis Grizzlies;95
Brooklyn Nets;87;Portland Trail Blazers;97
San Antonio Spurs;91;Sacramento Kings;94
Utah Jazz;93;Toronto Raptors;111
Orlando Magic;93;Washington Wizards;98
Golden State Warriors;136;Los Angeles Lakers;115
Milwaukee Bucks;91;Miami Heat;84
Denver Nuggets;93;New York Knicks;109
Houston Rockets;69;Oklahoma City Thunder;65
Phoenix Suns;118;Boston Celtics;114
Miami Heat;95;Brooklyn Nets;83
Dallas Mavericks;107;Charlotte Hornets;80
Denver Nuggets;106;Cleveland Cavaliers;97
Orlando Magic;107;Detroit Pistons;93
Chicago Bulls;105;Los Angeles Clippers;89
Houston Rockets;93;Memphis Grizzlies;119
New Orleans Pelicans;93;Portland Trail Blazers;102
Philadelphia 76ers;75;San Antonio Spurs;100
Los Angeles Lakers;114;Atlanta Hawks;109
New York Knicks;113;Milwaukee Bucks;117
New Orleans Pelicans;106;Sacramento Kings;100
Oklahoma City Thunder;81;Utah Jazz;98
Milwaukee Bucks;122;Brooklyn Nets;118
San Antonio Spurs;92;Cleveland Cavaliers;90
Oklahoma City Thunder;100;Denver Nuggets;107
Phoenix Suns;88;Detroit Pistons;86
Los Angeles Lakers;98;Houston Rockets;92
Charlotte Hornets;86;Indiana Pacers;88
New York Knicks;99;Minnesota Timberwolves;115
Los Angeles Clippers;114;Orlando Magic;90
Boston Celtics;101;Philadelphia 76ers;90
Memphis Grizzlies;92;Toronto Raptors;96
Dallas Mavericks;105;Washington Wizards;102
Los Angeles Clippers;110;Miami Heat;93
Chicago Bulls;88;Sacramento Kings;103
Detroit Pistons;89;Atlanta Hawks;99
Orlando Magic;105;Charlotte Hornets;100
Los Angeles Lakers;106;Dallas Mavericks;140
New Orleans Pelicans;97;Denver Nuggets;117
Utah Jazz;88;Golden State Warriors;101
Boston Celtics;100;Memphis Grizzlies;117
San Antonio Spurs;121;Minnesota Timberwolves;92
Brooklyn Nets;94;Oklahoma City Thunder;92
Phoenix Suns;122;Philadelphia 76ers;96
Chicago Bulls;87;Portland Trail Blazers;105
Milwaukee Bucks;82;Toronto Raptors;124
Cleveland Cavaliers;78;Washington Wizards;91
Toronto Raptors;110;Cleveland Cavaliers;93
Dallas Mavericks;92;Houston Rockets;95
Phoenix Suns;106;Indiana Pacers;83
Washington Wizards;111;Milwaukee Bucks;100
Sacramento Kings;113;Minnesota Timberwolves;101
Philadelphia 76ers;83;New York Knicks;91
Miami Heat;99;Orlando Magic;92
Brooklyn Nets;87;San Antonio Spurs;99
New Orleans Pelicans;106;Utah Jazz;94
Portland Trail Blazers;94;Boston Celtics;88
Denver Nuggets;101;Los Angeles Lakers;94
Los Angeles Clippers;91;Memphis Grizzlies;107
Charlotte Hornets;93;Miami Heat;94
Golden State Warriors;91;Oklahoma City Thunder;86
Los Angeles Clippers;113;Charlotte Hornets;92
Orlando Magic;74;Cleveland Cavaliers;106
Indiana Pacers;111;Dallas Mavericks;100
New York Knicks;86;Houston Rockets;91
Portland Trail Blazers;114;Philadelphia 76ers;104
Phoenix Suns;100;Toronto Raptors;104
Chicago Bulls;97;Utah Jazz;95
Chicago Bulls;109;Denver Nuggets;114
Golden State Warriors;114;Miami Heat;97
Detroit Pistons;86;Milwaukee Bucks;98
Sacramento Kings;99;New Orleans Pelicans;89
Atlanta Hawks;106;Washington Wizards;102
Toronto Raptors;126;Atlanta Hawks;115
Portland Trail Blazers;105;Charlotte Hornets;97
Washington Wizards;87;Cleveland Cavaliers;113
New York Knicks;102;Dallas Mavericks;109
Los Angeles Clippers;104;Detroit Pistons;98
Sacramento Kings;89;Houston Rockets;102
Memphis Grizzlies;99;Los Angeles Lakers;93
Milwaukee Bucks;103;Minnesota Timberwolves;86
Utah Jazz;82;Oklahoma City Thunder;97
Golden State Warriors;111;Orlando Magic;96
Brooklyn Nets;99;Philadelphia 76ers;91
Denver Nuggets;112;Phoenix Suns;120
Indiana Pacers;100;San Antonio Spurs;106
New Orleans Pelicans;91;Atlanta Hawks;100
Chicago Bulls;109;Boston Celtics;102
Golden State Warriors;106;Charlotte Hornets;101
Phoenix Suns;97;Denver Nuggets;122
Milwaukee Bucks;104;Detroit Pistons;88
Los Angeles Clippers;102;Houston Rockets;85
Orlando Magic;83;Indiana Pacers;98
Minnesota Timberwolves;120;Los Angeles Lakers;119
New York Knicks;78;Oklahoma City Thunder;105
Memphis Grizzlies;112;Portland Trail Blazers;99
Sacramento Kings;104;San Antonio Spurs;112
Dallas Mavericks;106;Toronto Raptors;102
Charlotte Hornets;75;Atlanta Hawks;105
Indiana Pacers;97;Cleveland Cavaliers;109
Houston Rockets;117;Milwaukee Bucks;103
Dallas Mavericks;110;Philadelphia 76ers;103
Los Angeles Clippers;112;Utah Jazz;96
New Orleans Pelicans;80;Washington Wizards;83
San Antonio Spurs;111;Boston Celtics;89
Chicago Bulls;102;Brooklyn Nets;84
Golden State Warriors;104;Detroit Pistons;93
Toronto Raptors;122;Los Angeles Lakers;129
Miami Heat;86;New York Knicks;79
Orlando Magic;93;Phoenix Suns;90
Minnesota Timberwolves;93;Portland Trail Blazers;107
Memphis Grizzlies;97;Sacramento Kings;85
Minnesota Timberwolves;101;Los Angeles Clippers;127
San Antonio Spurs;109;Philadelphia 76ers;103
Denver Nuggets;103;Utah Jazz;101
Miami Heat;86;Washington Wizards;107
Boston Celtics;105;Atlanta Hawks;109
Dallas Mavericks;132;Chicago Bulls;129
Milwaukee Bucks;108;Cleveland Cavaliers;111
Portland Trail Blazers;105;Denver Nuggets;103
Los Angeles Lakers;106;Detroit Pistons;96
Orlando Magic;97;Golden State Warriors;98
Oklahoma City Thunder;104;New Orleans Pelicans;112
Brooklyn Nets;98;New York Knicks;93
Indiana Pacers;99;Phoenix Suns;116
Toronto Raptors;117;Sacramento Kings;109
Detroit Pistons;102;Boston Celtics;109
San Antonio Spurs;93;Brooklyn Nets;95
Chicago Bulls;102;Charlotte Hornets;95
Memphis Grizzlies;96;Houston Rockets;105
Orlando Magic;86;Los Angeles Clippers;114
Atlanta Hawks;112;Miami Heat;102
Dallas Mavericks;107;Milwaukee Bucks;105
Philadelphia 76ers;85;Minnesota Timberwolves;77
Toronto Raptors;123;Utah Jazz;104
Los Angeles Lakers;95;Washington Wizards;111
New Orleans Pelicans;85;Golden State Warriors;112
Cleveland Cavaliers;90;New York Knicks;87
Indiana Pacers;82;Portland Trail Blazers;88
Los Angeles Lakers;96;Boston Celtics;113
Atlanta Hawks;98;Brooklyn Nets;75
New York Knicks;102;Charlotte Hornets;103
Phoenix Suns;118;Dallas Mavericks;106
San Antonio Spurs;107;Memphis Grizzlies;101
Miami Heat;85;Milwaukee Bucks;109
Houston Rockets;114;Minnesota Timberwolves;112
Oklahoma City Thunder;103;Philadelphia 76ers;91
Indiana Pacers;101;Sacramento Kings;102
Cleveland Cavaliers;105;Toronto Raptors;91
Orlando Magic;98;Utah Jazz;93
Denver Nuggets;89;Washington Wizards;119
Golden State Warriors;112;Chicago Bulls;102
Philadelphia 76ers;108;Detroit Pistons;101
Phoenix Suns;95;Houston Rockets;100
New Orleans Pelicans;100;Los Angeles Clippers;120
Orlando Magic;105;Sacramento Kings;96
Minnesota Timberwolves;101;San Antonio Spurs;123
Denver Nuggets;84;Atlanta Hawks;96
Washington Wizards;93;Boston Celtics;101
Milwaukee Bucks;102;Dallas Mavericks;125
Oklahoma City Thunder;96;Detroit Pistons;94
New Orleans Pelicans;104;Los Angeles Lakers;87
Miami Heat;87;Memphis Grizzlies;103
Portland Trail Blazers;103;New York Knicks;99
Cleveland Cavaliers;110;Brooklyn Nets;88
Atlanta Hawks;108;Indiana Pacers;92
Phoenix Suns;120;Los Angeles Clippers;121
Golden State Warriors;102;Minnesota Timberwolves;86
Utah Jazz;92;Sacramento Kings;101
Denver Nuggets;107;Toronto Raptors;112
Boston Celtics;132;Washington Wizards;133
Toronto Raptors;101;Cleveland Cavaliers;105
Portland Trail Blazers;98;Detroit Pistons;86
Sacramento Kings;95;Los Angeles Lakers;98
Dallas Mavericks;105;Memphis Grizzlies;114
New York Knicks;93;New Orleans Pelicans;104
Milwaukee Bucks;101;Oklahoma City Thunder;114
Miami Heat;103;Phoenix Suns;97
San Antonio Spurs;96;Utah Jazz;100
