Visitor/Neutral;PTS;Home/Neutral;PTS
San Antonio Spurs;116;Dallas Mavericks;107
Memphis Grizzlies;92;Houston Rockets;100
Los Angeles Clippers;112;Portland Trail Blazers;116
Milwaukee Bucks;93;Brooklyn Nets;104
Oklahoma City Thunder;89;Charlotte Bobcats;85
Phoenix Suns;86;Golden State Warriors;115
Washington Wizards;98;Minnesota Timberwolves;120
Denver Nuggets;89;New Orleans Pelicans;105
Toronto Raptors;95;New York Knicks;83
Detroit Pistons;92;Orlando Magic;109
Miami Heat;103;Sacramento Kings;108
Los Angeles Lakers;103;Utah Jazz;105
Charlotte Bobcats;116;Atlanta Hawks;118
Cleveland Cavaliers;100;Boston Celtics;103
Dallas Mavericks;105;Chicago Bulls;83
New Orleans Pelicans;98;Houston Rockets;107
Brooklyn Nets;91;Indiana Pacers;105
Utah Jazz;90;Los Angeles Clippers;98
Denver Nuggets;99;Memphis Grizzlies;120
Minnesota Timberwolves;117;Milwaukee Bucks;95
Philadelphia 76ers;101;Phoenix Suns;115
Miami Heat;108;Portland Trail Blazers;107
New York Knicks;100;Toronto Raptors;115
Detroit Pistons;82;Washington Wizards;106
Golden State Warriors;108;Cleveland Cavaliers;104
Philadelphia 76ers;111;Los Angeles Lakers;104
Houston Rockets;86;Oklahoma City Thunder;117
Atlanta Hawks;102;Orlando Magic;109
Sacramento Kings;104;San Antonio Spurs;112
Miami Heat;97;Denver Nuggets;94
Washington Wizards;106;Detroit Pistons;99
Phoenix Suns;107;Los Angeles Clippers;88
Chicago Bulls;95;Memphis Grizzlies;91
Dallas Mavericks;100;Minnesota Timberwolves;98
Portland Trail Blazers;108;New Orleans Pelicans;110
Charlotte Bobcats;80;Utah Jazz;83
Atlanta Hawks;92;Boston Celtics;91
Toronto Raptors;85;Chicago Bulls;79
Sacramento Kings;110;Houston Rockets;106
Cleveland Cavaliers;76;Indiana Pacers;91
Milwaukee Bucks;94;Los Angeles Lakers;79
Portland Trail Blazers;98;Oklahoma City Thunder;94
Golden State Warriors;94;Orlando Magic;81
Brooklyn Nets;92;San Antonio Spurs;113
Philadelphia 76ers;114;Denver Nuggets;102
Charlotte Bobcats;85;Los Angeles Clippers;112
New Orleans Pelicans;112;Minnesota Timberwolves;124
Indiana Pacers;82;Toronto Raptors;95
Dallas Mavericks;87;Washington Wizards;78
Boston Celtics;82;Chicago Bulls;94
Orlando Magic;81;Cleveland Cavaliers;87
Golden State Warriors;123;Miami Heat;114
Brooklyn Nets;95;Oklahoma City Thunder;93
Memphis Grizzlies;99;Phoenix Suns;91
Charlotte Bobcats;104;Portland Trail Blazers;134
Philadelphia 76ers;113;Sacramento Kings;104
New York Knicks;105;San Antonio Spurs;101
Milwaukee Bucks;87;Utah Jazz;96
Golden State Warriors;101;Atlanta Hawks;100
New Orleans Pelicans;95;Boston Celtics;92
Los Angeles Clippers;119;Dallas Mavericks;112
Memphis Grizzlies;108;Denver Nuggets;111
New York Knicks;100;Houston Rockets;102
Utah Jazz;99;Los Angeles Lakers;110
Toronto Raptors;101;Washington Wizards;88
Cleveland Cavaliers;82;Brooklyn Nets;89
Atlanta Hawks;84;Chicago Bulls;91
New Orleans Pelicans;82;Indiana Pacers;99
Oklahoma City Thunder;115;Minnesota Timberwolves;111
Miami Heat;110;Orlando Magic;94
Milwaukee Bucks;100;Phoenix Suns;116
Philadelphia 76ers;101;Portland Trail Blazers;99
Charlotte Bobcats;113;Sacramento Kings;103
Los Angeles Clippers;92;San Antonio Spurs;116
Indiana Pacers;82;Cleveland Cavaliers;78
New York Knicks;92;Dallas Mavericks;80
Memphis Grizzlies;112;Detroit Pistons;84
Denver Nuggets;137;Los Angeles Lakers;115
Toronto Raptors;97;Miami Heat;102
Boston Celtics;96;Oklahoma City Thunder;119
Golden State Warriors;112;Washington Wizards;96
Atlanta Hawks;86;Brooklyn Nets;91
Orlando Magic;81;Los Angeles Clippers;101
Minnesota Timberwolves;126;Philadelphia 76ers;95
Washington Wizards;97;Charlotte Bobcats;83
Phoenix Suns;87;Chicago Bulls;92
Philadelphia 76ers;93;Cleveland Cavaliers;111
Los Angeles Lakers;97;Dallas Mavericks;110
Boston Celtics;98;Denver Nuggets;129
Toronto Raptors;79;Indiana Pacers;86
San Antonio Spurs;110;Memphis Grizzlies;108
New Orleans Pelicans;88;Miami Heat;107
Golden State Warriors;101;Milwaukee Bucks;80
Detroit Pistons;85;New York Knicks;89
Portland Trail Blazers;119;Sacramento Kings;123
Oklahoma City Thunder;101;Utah Jazz;112
Indiana Pacers;87;Atlanta Hawks;97
Golden State Warriors;98;Brooklyn Nets;102
Los Angeles Lakers;99;Houston Rockets;113
Boston Celtics;105;Los Angeles Clippers;111
Phoenix Suns;104;Minnesota Timberwolves;103
Washington Wizards;102;New Orleans Pelicans;96
Orlando Magic;94;Portland Trail Blazers;110
Dallas Mavericks;90;San Antonio Spurs;112
Detroit Pistons;91;Toronto Raptors;112
Oklahoma City Thunder;88;Denver Nuggets;101
Miami Heat;92;New York Knicks;102
Houston Rockets;80;Atlanta Hawks;83
Miami Heat;95;Brooklyn Nets;104
Boston Celtics;97;Golden State Warriors;99
Washington Wizards;66;Indiana Pacers;93
Los Angeles Lakers;87;Los Angeles Clippers;123
Phoenix Suns;99;Memphis Grizzlies;104
Chicago Bulls;81;Milwaukee Bucks;72
Charlotte Bobcats;92;Minnesota Timberwolves;119
Dallas Mavericks;107;New Orleans Pelicans;90
Detroit Pistons;114;Philadelphia 76ers;104
Orlando Magic;83;Sacramento Kings;103
Cleveland Cavaliers;113;Utah Jazz;102
Charlotte Bobcats;97;Chicago Bulls;103
New Orleans Pelicans;107;Dallas Mavericks;110
Orlando Magic;94;Denver Nuggets;120
Phoenix Suns;108;Detroit Pistons;110
Milwaukee Bucks;85;Oklahoma City Thunder;101
New York Knicks;102;Philadelphia 76ers;92
Boston Celtics;104;Portland Trail Blazers;112
Brooklyn Nets;80;Toronto Raptors;96
Houston Rockets;114;Washington Wizards;107
Atlanta Hawks;101;Memphis Grizzlies;108
Cleveland Cavaliers;80;Sacramento Kings;124
Minnesota Timberwolves;86;San Antonio Spurs;104
Houston Rockets;104;Boston Celtics;92
Washington Wizards;102;Chicago Bulls;88
Orlando Magic;88;Dallas Mavericks;107
San Antonio Spurs;101;New Orleans Pelicans;95
Phoenix Suns;96;New York Knicks;98
Milwaukee Bucks;94;Toronto Raptors;116
Denver Nuggets;103;Utah Jazz;118
New York Knicks;98;Charlotte Bobcats;108
Sacramento Kings;92;Indiana Pacers;116
Cleveland Cavaliers;120;Los Angeles Lakers;118
Oklahoma City Thunder;87;Memphis Grizzlies;90
Toronto Raptors;83;Boston Celtics;88
Denver Nuggets;123;Golden State Warriors;116
Dallas Mavericks;127;Los Angeles Clippers;129
Memphis Grizzlies;82;Milwaukee Bucks;77
Sacramento Kings;111;Minnesota Timberwolves;108
Houston Rockets;103;New Orleans Pelicans;100
Chicago Bulls;128;Orlando Magic;125
Charlotte Bobcats;92;Philadelphia 76ers;95
Los Angeles Lakers;114;Phoenix Suns;121
Cleveland Cavaliers;96;Portland Trail Blazers;108
Utah Jazz;105;San Antonio Spurs;109
Miami Heat;97;Washington Wizards;114
Brooklyn Nets;127;Atlanta Hawks;110
Oklahoma City Thunder;104;Houston Rockets;92
New York Knicks;89;Indiana Pacers;117
Los Angeles Lakers;107;Boston Celtics;104
Cleveland Cavaliers;117;Denver Nuggets;109
Utah Jazz;110;Detroit Pistons;89
Sacramento Kings;90;Memphis Grizzlies;91
Los Angeles Clippers;109;New York Knicks;95
Golden State Warriors;121;Oklahoma City Thunder;127
Charlotte Bobcats;111;Orlando Magic;101
Miami Heat;101;Philadelphia 76ers;86
Dallas Mavericks;110;Phoenix Suns;107
Portland Trail Blazers;109;San Antonio Spurs;100
Minnesota Timberwolves;89;Toronto Raptors;94
Chicago Bulls;93;Washington Wizards;96
Miami Heat;104;Charlotte Bobcats;96
Philadelphia 76ers;78;Chicago Bulls;103
Portland Trail Blazers;127;Dallas Mavericks;111
Milwaukee Bucks;104;Houston Rockets;114
Los Angeles Clippers;92;Indiana Pacers;106
Utah Jazz;72;Minnesota Timberwolves;98
