Team;eFG%;TOV%;ORB%;FT/FGA;eFG%;TOV%;DRB%;FT/FGA
Chicago Bulls*;0.49;13.2;32.6;0.184;0.45;12.8;74.3;0.175
San Antonio Spurs*;0.528;12.8;25.1;0.195;0.489;12.9;76;0.168
Oklahoma City Thunder*;0.516;15.3;27.8;0.269;0.465;13;72.1;0.207
Miami Heat*;0.505;14.5;26.6;0.238;0.479;15.8;73.9;0.2
Philadelphia 76ers*;0.48;10.9;24.4;0.161;0.46;13.5;75.2;0.192
Denver Nuggets*;0.516;14.1;27.7;0.239;0.508;14.3;74.3;0.185
Los Angeles Clippers*;0.502;12.7;29.5;0.195;0.492;14.2;73.2;0.245
Atlanta Hawks*;0.5;13.4;23.9;0.192;0.48;14.4;74.4;0.186
Indiana Pacers*;0.474;13.1;29.2;0.251;0.476;14.1;72.3;0.222
Memphis Grizzlies*;0.473;13.6;29.8;0.211;0.485;16.3;72.7;0.227
New York Knicks*;0.492;14.9;26.6;0.227;0.485;15.9;73.7;0.224
Boston Celtics*;0.496;14.7;19.7;0.2;0.452;14.9;72.4;0.216
Los Angeles Lakers*;0.491;14.2;29.1;0.226;0.476;10.7;74.8;0.158
Dallas Mavericks*;0.489;13.4;23.4;0.19;0.479;13.9;74.8;0.203
Utah Jazz*;0.481;13;30.2;0.227;0.493;13.8;73.8;0.245
Houston Rockets;0.492;13.5;27.5;0.184;0.49;13.8;73.4;0.21
Orlando Magic*;0.506;14.5;26.5;0.193;0.488;12.9;75.5;0.19
Phoenix Suns;0.499;13.3;25.8;0.194;0.491;13.1;71.7;0.2
Portland Trail Blazers;0.488;13.4;26.3;0.209;0.504;14.1;72.8;0.199
Milwaukee Bucks;0.481;12.9;27.7;0.194;0.489;14.6;70.9;0.217
Minnesota Timberwolves;0.477;14;27.5;0.236;0.491;12.2;73;0.187
Golden State Warriors;0.505;13.3;22.9;0.175;0.496;13.6;69.1;0.237
New Orleans Hornets;0.476;15.2;27.5;0.207;0.485;13.5;73.1;0.218
Toronto Raptors;0.475;14.8;25.9;0.211;0.475;12.8;75.4;0.26
Sacramento Kings;0.472;13;29.1;0.197;0.515;13.9;70.5;0.199
Washington Wizards;0.472;14.2;27.3;0.184;0.492;14.2;70.9;0.229
Detroit Pistons;0.468;15;28.1;0.21;0.5;14.2;72.8;0.226
New Jersey Nets;0.473;14.3;27.8;0.209;0.513;13.7;70.7;0.209
Cleveland Cavaliers;0.463;14.3;28.9;0.22;0.508;13.1;72.2;0.202
Charlotte Bobcats;0.439;13.9;23.6;0.206;0.512;12.8;70.9;0.206
