Visitor/Neutral;PTS;Home/Neutral;PTS
New York Knicks;104;San Antonio Spurs;100
Orlando Magic;110;Detroit Pistons;106
Dallas Mavericks;83;Indiana Pacers;103
Phoenix Suns;102;Los Angeles Lakers;114
New York Knicks;95;Memphis Grizzlies;105
Golden State Warriors;106;Minnesota Timberwolves;98
Oklahoma City Thunder;110;New Orleans Hornets;95
Utah Jazz;93;Philadelphia 76ers;99
Houston Rockets;117;Portland Trail Blazers;119
Atlanta Hawks;112;Sacramento Kings;96
Toronto Raptors;89;Boston Celtics;107
Memphis Grizzlies;94;Charlotte Bobcats;87
Dallas Mavericks;103;Cleveland Cavaliers;95
Chicago Bulls;80;Los Angeles Clippers;101
New Orleans Hornets;113;Milwaukee Bucks;117
Miami Heat;97;Phoenix Suns;88
Denver Nuggets;100;San Antonio Spurs;126
Utah Jazz;83;Washington Wizards;76
Boston Celtics;83;Detroit Pistons;103
Houston Rockets;108;Los Angeles Lakers;119
Indiana Pacers;76;New York Knicks;88
Golden State Warriors;109;Oklahoma City Thunder;119
Cleveland Cavaliers;79;Philadelphia 76ers;86
Chicago Bulls;94;Portland Trail Blazers;102
Brooklyn Nets;99;Sacramento Kings;90
Orlando Magic;86;Toronto Raptors;97
Orlando Magic;72;Atlanta Hawks;81
Milwaukee Bucks;98;Charlotte Bobcats;102
Golden State Warriors;105;Dallas Mavericks;101
Denver Nuggets;97;Memphis Grizzlies;92
Los Angeles Clippers;92;San Antonio Spurs;87
Houston Rockets;91;Utah Jazz;102
Indiana Pacers;96;Washington Wizards;89
Brooklyn Nets;90;Los Angeles Lakers;95
New York Knicks;102;New Orleans Hornets;80
Toronto Raptors;98;Philadelphia 76ers;106
Washington Wizards;100;Atlanta Hawks;101
San Antonio Spurs;112;Boston Celtics;100
Toronto Raptors;97;Charlotte Bobcats;98
Philadelphia 76ers;83;Cleveland Cavaliers;92
New York Knicks;111;Dallas Mavericks;114
Brooklyn Nets;93;Golden State Warriors;102
Chicago Bulls;89;Houston Rockets;93
New Orleans Hornets;107;Indiana Pacers;115
Milwaukee Bucks;106;Miami Heat;113
Denver Nuggets;101;Minnesota Timberwolves;94
Los Angeles Clippers;111;Oklahoma City Thunder;117
Detroit Pistons;74;Orlando Magic;90
Portland Trail Blazers;87;Phoenix Suns;114
Los Angeles Lakers;97;Sacramento Kings;113
Oklahoma City Thunder;100;Boston Celtics;108
Los Angeles Clippers;76;Brooklyn Nets;86
Atlanta Hawks;101;Charlotte Bobcats;91
Golden State Warriors;91;Denver Nuggets;102
Toronto Raptors;90;Detroit Pistons;91
New York Knicks;103;Houston Rockets;131
San Antonio Spurs;104;Indiana Pacers;97
Los Angeles Lakers;98;Memphis Grizzlies;106
Cleveland Cavaliers;104;Orlando Magic;108
New Orleans Hornets;108;Phoenix Suns;111
Minnesota Timberwolves;95;Portland Trail Blazers;103
Sacramento Kings;102;Utah Jazz;104
Los Angeles Clippers;93;Atlanta Hawks;104
Los Angeles Lakers;115;Dallas Mavericks;89
Minnesota Timberwolves;85;Golden State Warriors;96
Cleveland Cavaliers;108;Miami Heat;110
Chicago Bulls;93;Milwaukee Bucks;86
Oklahoma City Thunder;116;Philadelphia 76ers;109
Utah Jazz;97;Sacramento Kings;108
Charlotte Bobcats;108;Washington Wizards;106
Portland Trail Blazers;85;Brooklyn Nets;98
New Orleans Hornets;84;Denver Nuggets;102
Detroit Pistons;100;New York Knicks;121
Boston Celtics;116;Orlando Magic;110
Phoenix Suns;101;Philadelphia 76ers;104
San Antonio Spurs;111;Toronto Raptors;106
New York Knicks;89;Brooklyn Nets;96
Milwaukee Bucks;93;Chicago Bulls;92
Portland Trail Blazers;101;Detroit Pistons;108
New Orleans Hornets;105;Los Angeles Clippers;98
Cleveland Cavaliers;78;Memphis Grizzlies;84
Charlotte Bobcats;69;Oklahoma City Thunder;114
Denver Nuggets;103;Utah Jazz;105
San Antonio Spurs;118;Washington Wizards;92
Phoenix Suns;91;Cleveland Cavaliers;78
Toronto Raptors;101;Houston Rockets;117
Indiana Pacers;79;Los Angeles Lakers;77
Dallas Mavericks;98;Philadelphia 76ers;100
Minnesota Timberwolves;97;Sacramento Kings;89
Charlotte Bobcats;91;Atlanta Hawks;94
Brooklyn Nets;95;Boston Celtics;83
Dallas Mavericks;78;Chicago Bulls;101
Phoenix Suns;77;Detroit Pistons;117
Minnesota Timberwolves;95;Los Angeles Clippers;101
Toronto Raptors;82;Memphis Grizzlies;103
New York Knicks;102;Milwaukee Bucks;88
Utah Jazz;96;New Orleans Hornets;84
Houston Rockets;98;Oklahoma City Thunder;120
San Antonio Spurs;110;Orlando Magic;89
Portland Trail Blazers;82;Washington Wizards;84
Denver Nuggets;105;Golden State Warriors;106
San Antonio Spurs;100;Miami Heat;105
Cleveland Cavaliers;113;Atlanta Hawks;111
Portland Trail Blazers;78;Boston Celtics;96
Philadelphia 76ers;104;Charlotte Bobcats;98
Denver Nuggets;103;Los Angeles Lakers;122
Detroit Pistons;78;Memphis Grizzlies;90
Milwaukee Bucks;85;Minnesota Timberwolves;95
Washington Wizards;87;New York Knicks;108
Utah Jazz;94;Oklahoma City Thunder;106
Brooklyn Nets;98;Orlando Magic;86
Indiana Pacers;97;Sacramento Kings;92
Phoenix Suns;97;Toronto Raptors;101
Philadelphia 76ers;88;Chicago Bulls;93
Portland Trail Blazers;118;Cleveland Cavaliers;117
Detroit Pistons;77;Dallas Mavericks;92
Indiana Pacers;92;Golden State Warriors;103
