Visitor/Neutral;PTS;Home/Neutral;PTS
Memphis Grizzlies;85;Chicago Bulls;82
Washington Wizards;87;Los Angeles Clippers;94
Houston Rockets;79;Minnesota Timberwolves;92
Golden State Warriors;116;New Orleans Hornets;112
Milwaukee Bucks;110;Portland Trail Blazers;104
Cleveland Cavaliers;98;Utah Jazz;109
Oklahoma City Thunder;118;Denver Nuggets;121
Boston Celtics;88;Detroit Pistons;103
Dallas Mavericks;111;Orlando Magic;105
Los Angeles Lakers;103;Toronto Raptors;108
Minnesota Timberwolves;96;Atlanta Hawks;104
Houston Rockets;100;Charlotte Bobcats;94
Los Angeles Lakers;83;Chicago Bulls;95
Los Angeles Clippers;99;Golden State Warriors;106
Indiana Pacers;82;Memphis Grizzlies;81
Sacramento Kings;105;New Orleans Hornets;114
Brooklyn Nets;88;New York Knicks;85
San Antonio Spurs;90;Philadelphia 76ers;85
Washington Wizards;98;Portland Trail Blazers;95
Boston Celtics;90;Cleveland Cavaliers;95
Orlando Magic;90;Detroit Pistons;105
Oklahoma City Thunder;109;Los Angeles Clippers;97
Philadelphia 76ers;102;Milwaukee Bucks;110
Atlanta Hawks;104;Charlotte Bobcats;92
Detroit Pistons;82;Chicago Bulls;85
Oklahoma City Thunder;99;Golden State Warriors;104
Denver Nuggets;105;Houston Rockets;95
Los Angeles Lakers;93;Memphis Grizzlies;106
Toronto Raptors;116;Miami Heat;123
Brooklyn Nets;91;Minnesota Timberwolves;83
Indiana Pacers;80;Portland Trail Blazers;100
Phoenix Suns;106;Sacramento Kings;96
New Orleans Hornets;102;San Antonio Spurs;106
Washington Wizards;88;Utah Jazz;92
New York Knicks;89;Boston Celtics;86
Toronto Raptors;97;Orlando Magic;95
Los Angeles Clippers;88;Phoenix Suns;93
Boston Celtics;111;Atlanta Hawks;123
Golden State Warriors;87;Chicago Bulls;103
Milwaukee Bucks;108;Cleveland Cavaliers;113
San Antonio Spurs;113;Dallas Mavericks;107
Utah Jazz;84;Los Angeles Lakers;102
Brooklyn Nets;77;Memphis Grizzlies;101
Detroit Pistons;88;Miami Heat;110
Houston Rockets;100;New Orleans Hornets;82
Oklahoma City Thunder;105;Sacramento Kings;95
Minnesota Timberwolves;101;Washington Wizards;114
Minnesota Timberwolves;101;Charlotte Bobcats;102
Sacramento Kings;93;Denver Nuggets;121
Brooklyn Nets;106;Houston Rockets;119
Golden State Warriors;102;Milwaukee Bucks;109
New York Knicks;80;Philadelphia 76ers;97
Los Angeles Clippers;100;Portland Trail Blazers;101
Phoenix Suns;99;San Antonio Spurs;108
Cleveland Cavaliers;99;Toronto Raptors;98
Indiana Pacers;110;Utah Jazz;114
Chicago Bulls;73;Washington Wizards;86
Miami Heat;98;Boston Celtics;100
Phoenix Suns;95;Dallas Mavericks;110
Portland Trail Blazers;83;Los Angeles Clippers;96
Oklahoma City Thunder;96;Los Angeles Lakers;105
New Orleans Hornets;91;Memphis Grizzlies;83
Atlanta Hawks;104;New York Knicks;106
Detroit Pistons;104;Orlando Magic;102
Orlando Magic;77;Brooklyn Nets;97
Charlotte Bobcats;85;Chicago Bulls;93
Indiana Pacers;101;Denver Nuggets;102
Memphis Grizzlies;103;Philadelphia 76ers;100
Golden State Warriors;114;Toronto Raptors;102
Houston Rockets;125;Utah Jazz;80
Sacramento Kings;96;Washington Wizards;94
Golden State Warriors;108;Cleveland Cavaliers;95
Milwaukee Bucks;117;Detroit Pistons;90
New Orleans Hornets;106;Los Angeles Lakers;111
Dallas Mavericks;104;Portland Trail Blazers;106
Toronto Raptors;92;Atlanta Hawks;93
Sacramento Kings;81;Boston Celtics;99
Miami Heat;105;Brooklyn Nets;85
Houston Rockets;110;Denver Nuggets;118
Detroit Pistons;79;Indiana Pacers;98
Chicago Bulls;104;Milwaukee Bucks;88
Los Angeles Clippers;96;Minnesota Timberwolves;90
Orlando Magic;97;New York Knicks;113
Washington Wizards;84;Philadelphia 76ers;92
Los Angeles Lakers;86;Phoenix Suns;92
Charlotte Bobcats;78;San Antonio Spurs;102
New Orleans Hornets;99;Utah Jazz;104
Dallas Mavericks;97;Golden State Warriors;100
Memphis Grizzlies;89;Oklahoma City Thunder;106
Orlando Magic;84;Boston Celtics;97
Chicago Bulls;89;Brooklyn Nets;93
New Orleans Hornets;98;Denver Nuggets;113
Cleveland Cavaliers;99;Detroit Pistons;117
Miami Heat;89;Indiana Pacers;102
Washington Wizards;76;Memphis Grizzlies;85
Los Angeles Lakers;111;Minnesota Timberwolves;100
Milwaukee Bucks;86;New York Knicks;96
Sacramento Kings;80;Philadelphia 76ers;89
Dallas Mavericks;109;Phoenix Suns;99
Los Angeles Clippers;73;Toronto Raptors;98
Portland Trail Blazers;77;Utah Jazz;86
Chicago Bulls;93;Atlanta Hawks;76
Oklahoma City Thunder;110;Cleveland Cavaliers;115
Phoenix Suns;93;Golden State Warriors;113
Charlotte Bobcats;95;Houston Rockets;109
Orlando Magic;98;Milwaukee Bucks;107
New Orleans Hornets;86;Minnesota Timberwolves;115
Sacramento Kings;81;New York Knicks;120
Utah Jazz;99;Portland Trail Blazers;105
Washington Wizards;86;San Antonio Spurs;96
Los Angeles Clippers;104;Boston Celtics;106
Los Angeles Lakers;98;Detroit Pistons;97
Miami Heat;100;Toronto Raptors;85
Chicago Bulls;101;Indiana Pacers;111
Charlotte Bobcats;94;Miami Heat;99
Portland Trail Blazers;100;Minnesota Timberwolves;98
Detroit Pistons;85;New York Knicks;99
Dallas Mavericks;91;Oklahoma City Thunder;112
Orlando Magic;61;Philadelphia 76ers;78
Sacramento Kings;91;Utah Jazz;98
Los Angeles Clippers;90;Washington Wizards;98
Los Angeles Lakers;92;Brooklyn Nets;83
Milwaukee Bucks;104;Denver Nuggets;112
Golden State Warriors;109;Houston Rockets;140
Atlanta Hawks;103;Indiana Pacers;114
Phoenix Suns;96;Memphis Grizzlies;90
Memphis Grizzlies;92;Atlanta Hawks;103
Charlotte Bobcats;95;Cleveland Cavaliers;122
Portland Trail Blazers;99;Dallas Mavericks;105
Brooklyn Nets;93;Detroit Pistons;90
Houston Rockets;108;Miami Heat;114
San Antonio Spurs;104;Minnesota Timberwolves;94
Phoenix Suns;84;New Orleans Hornets;93
Golden State Warriors;98;Oklahoma City Thunder;119
Los Angeles Clippers;86;Orlando Magic;76
Indiana Pacers;88;Philadelphia 76ers;69
Boston Celtics;99;Toronto Raptors;95
Milwaukee Bucks;86;Utah Jazz;100
New York Knicks;96;Washington Wizards;106
Los Angeles Lakers;95;Boston Celtics;116
Chicago Bulls;96;Denver Nuggets;128
New Orleans Hornets;111;Atlanta Hawks;100
Los Angeles Lakers;100;Charlotte Bobcats;93
Orlando Magic;108;Cleveland Cavaliers;119
San Antonio Spurs;109;Detroit Pistons;119
Portland Trail Blazers;103;Houston Rockets;118
Toronto Raptors;100;Indiana Pacers;98
Golden State Warriors;93;Memphis Grizzlies;99
Los Angeles Clippers;89;Miami Heat;111
New York Knicks;100;Minnesota Timberwolves;94
Phoenix Suns;96;Oklahoma City Thunder;127
Chicago Bulls;93;Utah Jazz;89
Brooklyn Nets;74;Washington Wizards;89
Denver Nuggets;111;Cleveland Cavaliers;103
Golden State Warriors;91;Dallas Mavericks;116
Detroit Pistons;105;Milwaukee Bucks;100
Charlotte Bobcats;76;Philadelphia 76ers;87
Utah Jazz;109;Sacramento Kings;120
Denver Nuggets;114;Boston Celtics;118
San Antonio Spurs;111;Brooklyn Nets;86
Minnesota Timberwolves;88;Memphis Grizzlies;105
Los Angeles Lakers;97;Miami Heat;107
Los Angeles Clippers;102;New York Knicks;88
Portland Trail Blazers;104;Orlando Magic;110
Oklahoma City Thunder;97;Phoenix Suns;69
Houston Rockets;111;Sacramento Kings;117
New Orleans Hornets;89;Toronto Raptors;102
Boston Celtics;91;Charlotte Bobcats;94
San Antonio Spurs;103;Chicago Bulls;89
Minnesota Timberwolves;100;Cleveland Cavaliers;92
Atlanta Hawks;105;Dallas Mavericks;101
New Orleans Hornets;105;Detroit Pistons;86
Brooklyn Nets;89;Indiana Pacers;84
Washington Wizards;102;Milwaukee Bucks;90
Los Angeles Clippers;107;Philadelphia 76ers;90
Houston Rockets;116;Golden State Warriors;107
Phoenix Suns;85;Los Angeles Lakers;91
Sacramento Kings;101;Memphis Grizzlies;108
Portland Trail Blazers;104;Miami Heat;117
Denver Nuggets;108;Toronto Raptors;109
Oklahoma City Thunder;94;Utah Jazz;109
Chicago Bulls;69;Boston Celtics;71
Denver Nuggets;108;Brooklyn Nets;119
San Antonio Spurs;96;Cleveland Cavaliers;95
Sacramento Kings;100;Dallas Mavericks;123
Washington Wizards;85;Detroit Pistons;96
Charlotte Bobcats;77;Indiana Pacers;101
Houston Rockets;96;Los Angeles Clippers;106
Philadelphia 76ers;92;Milwaukee Bucks;94
Utah Jazz;97;Minnesota Timberwolves;93
Portland Trail Blazers;63;New Orleans Hornets;99
Toronto Raptors;92;New York Knicks;88
Atlanta Hawks;108;Orlando Magic;76
Los Angeles Clippers;125;Los Angeles Lakers;101
Miami Heat;110;Oklahoma City Thunder;100
Milwaukee Bucks;111;Brooklyn Nets;113
Boston Celtics;90;Denver Nuggets;97
Memphis Grizzlies;105;Detroit Pistons;91
Chicago Bulls;96;New Orleans Hornets;87
Charlotte Bobcats;105;Orlando Magic;92
Phoenix Suns;102;Portland Trail Blazers;98
San Antonio Spurs;108;Sacramento Kings;102
Golden State Warriors;101;Utah Jazz;115
Toronto Raptors;96;Washington Wizards;88
Miami Heat;103;Atlanta Hawks;90
Detroit Pistons;105;Charlotte Bobcats;99
New Orleans Hornets;100;Cleveland Cavaliers;105
Orlando Magic;96;Dallas Mavericks;111
Phoenix Suns;98;Golden State Warriors;108
Oklahoma City Thunder;119;Houston Rockets;122
New York Knicks;91;Indiana Pacers;125
Boston Celtics;99;Los Angeles Lakers;113
Brooklyn Nets;97;Milwaukee Bucks;94
Philadelphia 76ers;87;Minnesota Timberwolves;94
Memphis Grizzlies;88;Toronto Raptors;82
Miami Heat;86;Chicago Bulls;67
San Antonio Spurs;116;Los Angeles Clippers;90
Sacramento Kings;108;Atlanta Hawks;122
Houston Rockets;106;Brooklyn Nets;96
Chicago Bulls;105;Charlotte Bobcats;75
San Antonio Spurs;101;Golden State Warriors;107
Detroit Pistons;82;Indiana Pacers;114
Portland Trail Blazers;107;Los Angeles Lakers;111
Orlando Magic;82;Memphis Grizzlies;88
Dallas Mavericks;104;New Orleans Hornets;100
Minnesota Timberwolves;111;Oklahoma City Thunder;127
Boston Celtics;113;Phoenix Suns;88
New York Knicks;98;Toronto Raptors;100
Denver Nuggets;113;Washington Wizards;119
Denver Nuggets;113;Charlotte Bobcats;99
Indiana Pacers;90;Detroit Pistons;72
Utah Jazz;94;Los Angeles Clippers;107
Atlanta Hawks;103;Milwaukee Bucks;102
Cleveland Cavaliers;118;Orlando Magic;94
Miami Heat;114;Philadelphia 76ers;90
Houston Rockets;103;Washington Wizards;105
Memphis Grizzlies;76;Brooklyn Nets;72
Los Angeles Lakers;103;Dallas Mavericks;99
Cleveland Cavaliers;105;Miami Heat;109
Golden State Warriors;100;Minnesota Timberwolves;99
Sacramento Kings;95;New Orleans Hornets;110
Philadelphia 76ers;93;New York Knicks;99
Chicago Bulls;72;Oklahoma City Thunder;102
San Antonio Spurs;97;Phoenix Suns;87
Boston Celtics;86;Portland Trail Blazers;92
Los Angeles Lakers;108;Denver Nuggets;119
Atlanta Hawks;114;Detroit Pistons;103
Washington Wizards;90;Toronto Raptors;84
Boston Celtics;110;Utah Jazz;107
Cleveland Cavaliers;101;Chicago Bulls;98
Milwaukee Bucks;95;Dallas Mavericks;90
Golden State Warriors;97;Indiana Pacers;108
Charlotte Bobcats;84;Los Angeles Clippers;106
Sacramento Kings;129;Miami Heat;141
Brooklyn Nets;101;New Orleans Hornets;97
Orlando Magic;98;Philadelphia 76ers;84
Minnesota Timberwolves;83;Phoenix Suns;84
Toronto Raptors;92;Cleveland Cavaliers;103
Milwaukee Bucks;110;Houston Rockets;107
Dallas Mavericks;84;Memphis Grizzlies;90
Golden State Warriors;105;New York Knicks;109
New Orleans Hornets;74;Oklahoma City Thunder;119
Sacramento Kings;125;Orlando Magic;101
Denver Nuggets;111;Portland Trail Blazers;109
Phoenix Suns;105;San Antonio Spurs;101
Atlanta Hawks;102;Utah Jazz;91
Detroit Pistons;96;Washington Wizards;95
Philadelphia 76ers;82;Chicago Bulls;93
Los Angeles Clippers;99;Indiana Pacers;91
Minnesota Timberwolves;94;Los Angeles Lakers;116
Golden State Warriors;86;Boston Celtics;94
Dallas Mavericks;98;Brooklyn Nets;90
Los Angeles Clippers;105;Cleveland Cavaliers;89
Oklahoma City Thunder;103;Denver Nuggets;105
Memphis Grizzlies;91;Miami Heat;98
Detroit Pistons;95;New Orleans Hornets;100
Houston Rockets;118;Orlando Magic;110
Atlanta Hawks;87;Phoenix Suns;92
Sacramento Kings;102;San Antonio Spurs;130
Indiana Pacers;93;Toronto Raptors;81
Charlotte Bobcats;68;Utah Jazz;98
New York Knicks;96;Washington Wizards;88
Brooklyn Nets;85;Chicago Bulls;96
Toronto Raptors;114;Milwaukee Bucks;122
Golden State Warriors;97;Philadelphia 76ers;104
Minnesota Timberwolves;94;Portland Trail Blazers;109
Dallas Mavericks;103;Houston Rockets;136
Chicago Bulls;92;Indiana Pacers;97
Oklahoma City Thunder;108;Los Angeles Clippers;104
Atlanta Hawks;98;Los Angeles Lakers;99
Miami Heat;99;New York Knicks;93
Memphis Grizzlies;108;Orlando Magic;82
Charlotte Bobcats;83;Sacramento Kings;119
Detroit Pistons;75;San Antonio Spurs;114
Philadelphia 76ers;87;Washington Wizards;90
New York Knicks;102;Cleveland Cavaliers;97
Atlanta Hawks;88;Denver Nuggets;104
Toronto Raptors;118;Golden State Warriors;125
Utah Jazz;108;Milwaukee Bucks;109
Miami Heat;97;Minnesota Timberwolves;81
Orlando Magic;105;New Orleans Hornets;102
Charlotte Bobcats;105;Portland Trail Blazers;122
Los Angeles Lakers;105;Oklahoma City Thunder;122
Boston Celtics;109;Philadelphia 76ers;101
Denver Nuggets;120;Sacramento Kings;113
Philadelphia 76ers;96;Atlanta Hawks;107
Brooklyn Nets;99;Charlotte Bobcats;78
Utah Jazz;101;Cleveland Cavaliers;104
Houston Rockets;108;Dallas Mavericks;112
New York Knicks;87;Detroit Pistons;77
Sacramento Kings;83;Golden State Warriors;87
Boston Celtics;83;Indiana Pacers;81
Milwaukee Bucks;101;Los Angeles Clippers;117
Portland Trail Blazers;85;Memphis Grizzlies;91
Orlando Magic;96;Miami Heat;97
Washington Wizards;82;Minnesota Timberwolves;87
Los Angeles Lakers;108;New Orleans Hornets;102
Toronto Raptors;98;Phoenix Suns;71
Chicago Bulls;83;San Antonio Spurs;101
Los Angeles Clippers;92;Denver Nuggets;107
Oklahoma City Thunder;95;New York Knicks;94
Atlanta Hawks;102;Boston Celtics;107
Washington Wizards;78;Brooklyn Nets;95
Oklahoma City Thunder;116;Charlotte Bobcats;94
Utah Jazz;88;Chicago Bulls;89
Memphis Grizzlies;103;Cleveland Cavaliers;92
Dallas Mavericks;102;Detroit Pistons;99
Houston Rockets;94;Golden State Warriors;88
Toronto Raptors;116;Los Angeles Lakers;118
Philadelphia 76ers;93;Miami Heat;102
Indiana Pacers;115;Orlando Magic;86
Phoenix Suns;112;Sacramento Kings;121
Portland Trail Blazers;136;San Antonio Spurs;106
Brooklyn Nets;93;Atlanta Hawks;80
Minnesota Timberwolves;88;Denver Nuggets;111
Milwaukee Bucks;103;Golden State Warriors;93
New Orleans Hornets;85;Memphis Grizzlies;96
Utah Jazz;84;New York Knicks;113
Houston Rockets;105;Phoenix Suns;107
Charlotte Bobcats;87;Washington Wizards;104
Detroit Pistons;97;Los Angeles Clippers;129
Chicago Bulls;81;Los Angeles Lakers;90
Indiana Pacers;91;Miami Heat;105
Dallas Mavericks;100;Minnesota Timberwolves;77
Portland Trail Blazers;96;New Orleans Hornets;98
Boston Celtics;79;Oklahoma City Thunder;91
Philadelphia 76ers;91;Orlando Magic;99
Milwaukee Bucks;115;Sacramento Kings;113
Cleveland Cavaliers;96;Toronto Raptors;100
New York Knicks;63;Golden State Warriors;92
Brooklyn Nets;97;Philadelphia 76ers;106
Denver Nuggets;108;Phoenix Suns;93
Oklahoma City Thunder;93;San Antonio Spurs;105
Detroit Pistons;90;Utah Jazz;103
New Orleans Hornets;98;Brooklyn Nets;108
Boston Celtics;74;Charlotte Bobcats;100
Washington Wizards;90;Cleveland Cavaliers;95
Atlanta Hawks;81;Miami Heat;98
Dallas Mavericks;115;Milwaukee Bucks;108
San Antonio Spurs;83;Minnesota Timberwolves;107
Los Angeles Lakers;106;Orlando Magic;97
Memphis Grizzlies;102;Portland Trail Blazers;97
Los Angeles Lakers;92;Atlanta Hawks;96
Toronto Raptors;88;Boston Celtics;112
New York Knicks;94;Denver Nuggets;117
Detroit Pistons;97;Golden State Warriors;105
Phoenix Suns;81;Houston Rockets;111
Minnesota Timberwolves;91;Indiana Pacers;107
Memphis Grizzlies;96;Los Angeles Clippers;85
Utah Jazz;87;Oklahoma City Thunder;110
Miami Heat;98;Philadelphia 76ers;94
Chicago Bulls;79;Sacramento Kings;121
Milwaukee Bucks;93;Washington Wizards;106
New York Knicks;90;Portland Trail Blazers;105
Dallas Mavericks;91;San Antonio Spurs;92
Phoenix Suns;94;Atlanta Hawks;107
Cleveland Cavaliers;86;Dallas Mavericks;96
Memphis Grizzlies;80;Denver Nuggets;87
Chicago Bulls;113;Golden State Warriors;95
Minnesota Timberwolves;100;Houston Rockets;108
Los Angeles Lakers;99;Indiana Pacers;93
Miami Heat;107;Milwaukee Bucks;94
Orlando Magic;104;Oklahoma City Thunder;117
Charlotte Bobcats;78;Toronto Raptors;92
New Orleans Hornets;87;Washington Wizards;96
Charlotte Bobcats;88;Boston Celtics;105
Indiana Pacers;91;Philadelphia 76ers;98
Detroit Pistons;101;Portland Trail Blazers;112
Cleveland Cavaliers;113;San Antonio Spurs;119
Memphis Grizzlies;84;Utah Jazz;90
Phoenix Suns;105;Washington Wizards;127
Atlanta Hawks;105;Brooklyn Nets;93
Oklahoma City Thunder;107;Dallas Mavericks;101
Golden State Warriors;108;Houston Rockets;78
New York Knicks;80;Los Angeles Clippers;93
Sacramento Kings;102;Los Angeles Lakers;113
Orlando Magic;109;Milwaukee Bucks;115
New Orleans Hornets;95;Minnesota Timberwolves;97
Miami Heat;108;Toronto Raptors;91
Dallas Mavericks;127;Atlanta Hawks;113
Miami Heat;105;Boston Celtics;103
Washington Wizards;114;Charlotte Bobcats;119
Denver Nuggets;119;Chicago Bulls;118
Indiana Pacers;111;Cleveland Cavaliers;90
Brooklyn Nets;119;Detroit Pistons;82
Minnesota Timberwolves;77;Memphis Grizzlies;92
Golden State Warriors;93;New Orleans Hornets;72
Portland Trail Blazers;100;Philadelphia 76ers;101
Los Angeles Lakers;76;Phoenix Suns;99
New York Knicks;90;Utah Jazz;83
Orlando Magic;73;Indiana Pacers;95
Portland Trail Blazers;95;Milwaukee Bucks;102
Denver Nuggets;114;Oklahoma City Thunder;104
Los Angeles Clippers;101;Sacramento Kings;116
Milwaukee Bucks;90;Atlanta Hawks;98
Toronto Raptors;101;Charlotte Bobcats;107
Miami Heat;98;Cleveland Cavaliers;95
Brooklyn Nets;113;Dallas Mavericks;96
Utah Jazz;93;Houston Rockets;100
Philadelphia 76ers;72;Los Angeles Clippers;101
Oklahoma City Thunder;89;Memphis Grizzlies;90
Boston Celtics;86;New Orleans Hornets;87
Orlando Magic;94;New York Knicks;106
Washington Wizards;88;Phoenix Suns;79
Golden State Warriors;93;San Antonio Spurs;104
Portland Trail Blazers;99;Chicago Bulls;89
Philadelphia 76ers;100;Denver Nuggets;101
Minnesota Timberwolves;98;Sacramento Kings;101
Portland Trail Blazers;104;Atlanta Hawks;93
Boston Celtics;94;Dallas Mavericks;104
Cleveland Cavaliers;78;Houston Rockets;116
Milwaukee Bucks;78;Indiana Pacers;102
Washington Wizards;103;Los Angeles Lakers;100
Detroit Pistons;89;Miami Heat;103
Memphis Grizzlies;83;New Orleans Hornets;90
Oklahoma City Thunder;97;Orlando Magic;89
Minnesota Timberwolves;117;Phoenix Suns;86
Utah Jazz;97;San Antonio Spurs;104
New York Knicks;99;Toronto Raptors;94
Detroit Pistons;92;Charlotte Bobcats;91
Indiana Pacers;84;Chicago Bulls;87
Sacramento Kings;95;Denver Nuggets;101
Washington Wizards;92;Golden State Warriors;101
Brooklyn Nets;95;Los Angeles Clippers;101
Boston Celtics;106;Memphis Grizzlies;110
Toronto Raptors;84;New York Knicks;110
Utah Jazz;108;Dallas Mavericks;113
San Antonio Spurs;95;Houston Rockets;96
Charlotte Bobcats;77;Miami Heat;109
Atlanta Hawks;104;Milwaukee Bucks;99
Chicago Bulls;104;Minnesota Timberwolves;97
Portland Trail Blazers;83;Oklahoma City Thunder;103
Brooklyn Nets;102;Phoenix Suns;100
Philadelphia 76ers;117;Sacramento Kings;103
Los Angeles Lakers;103;Golden State Warriors;109
Atlanta Hawks;94;Indiana Pacers;100
Denver Nuggets;86;New Orleans Hornets;110
Miami Heat;108;Orlando Magic;94
Philadelphia 76ers;91;Utah Jazz;107
Memphis Grizzlies;94;Washington Wizards;107
New York Knicks;100;Boston Celtics;85
Los Angeles Clippers;102;Dallas Mavericks;109
Minnesota Timberwolves;105;Detroit Pistons;82
Orlando Magic;108;Charlotte Bobcats;114
Miami Heat;97;Chicago Bulls;101
Boston Celtics;93;Cleveland Cavaliers;92
Sacramento Kings;105;Golden State Warriors;98
Indiana Pacers;100;Houston Rockets;91
Los Angeles Lakers;120;Minnesota Timberwolves;117
Los Angeles Clippers;105;New Orleans Hornets;91
Memphis Grizzlies;101;New York Knicks;108
Washington Wizards;80;Oklahoma City Thunder;103
Milwaukee Bucks;92;Philadelphia 76ers;100
Brooklyn Nets;111;Portland Trail Blazers;93
Denver Nuggets;99;San Antonio Spurs;100
Atlanta Hawks;107;Toronto Raptors;88
Phoenix Suns;88;Utah Jazz;103
Indiana Pacers;103;Dallas Mavericks;78
Los Angeles Lakers;103;Milwaukee Bucks;113
Sacramento Kings;117;Phoenix Suns;103
Atlanta Hawks;107;Boston Celtics;118
Philadelphia 76ers;97;Cleveland Cavaliers;87
Brooklyn Nets;87;Denver Nuggets;109
Toronto Raptors;99;Detroit Pistons;82
Houston Rockets;94;Memphis Grizzlies;103
Oklahoma City Thunder;93;Minnesota Timberwolves;101
Miami Heat;108;New Orleans Hornets;89
Charlotte Bobcats;102;New York Knicks;111
Washington Wizards;92;Orlando Magic;97
Utah Jazz;105;Portland Trail Blazers;95
Los Angeles Clippers;102;San Antonio Spurs;104
Orlando Magic;88;Atlanta Hawks;97
Chicago Bulls;98;Dallas Mavericks;100
Portland Trail Blazers;98;Golden State Warriors;125
Los Angeles Clippers;81;Houston Rockets;98
Oklahoma City Thunder;109;Milwaukee Bucks;99
Memphis Grizzlies;99;Minnesota Timberwolves;86
Charlotte Bobcats;92;Philadelphia 76ers;100
Indiana Pacers;112;Phoenix Suns;104
Los Angeles Lakers;103;Sacramento Kings;98
Brooklyn Nets;107;Utah Jazz;116
Detroit Pistons;94;Chicago Bulls;95
Cleveland Cavaliers;92;New Orleans Hornets;112
Boston Celtics;89;New York Knicks;108
Miami Heat;88;San Antonio Spurs;86
Toronto Raptors;92;Washington Wizards;109
Cleveland Cavaliers;94;Atlanta Hawks;102
Orlando Magic;103;Houston Rockets;111
Indiana Pacers;109;Los Angeles Clippers;106
San Antonio Spurs;90;Memphis Grizzlies;92
Charlotte Bobcats;102;Milwaukee Bucks;131
Boston Celtics;100;Minnesota Timberwolves;110
Detroit Pistons;108;Toronto Raptors;98
Portland Trail Blazers;102;Utah Jazz;112
Dallas Mavericks;81;Los Angeles Lakers;101
New York Knicks;102;Miami Heat;90
Chicago Bulls;86;Washington Wizards;90
New York Knicks;95;Atlanta Hawks;82
Detroit Pistons;93;Boston Celtics;98
Philadelphia 76ers;83;Charlotte Bobcats;88
Brooklyn Nets;113;Cleveland Cavaliers;95
New Orleans Hornets;88;Golden State Warriors;98
Phoenix Suns;101;Los Angeles Clippers;126
Minnesota Timberwolves;107;Milwaukee Bucks;98
Memphis Grizzlies;94;Portland Trail Blazers;76
Houston Rockets;112;Sacramento Kings;102
Orlando Magic;84;San Antonio Spurs;98
Washington Wizards;78;Toronto Raptors;88
Denver Nuggets;113;Utah Jazz;96
Chicago Bulls;92;Brooklyn Nets;90
Dallas Mavericks;94;Denver Nuggets;95
San Antonio Spurs;88;Oklahoma City Thunder;100
Philadelphia 76ers;101;Atlanta Hawks;90
Cleveland Cavaliers;97;Boston Celtics;91
Miami Heat;89;Charlotte Bobcats;79
Orlando Magic;86;Chicago Bulls;87
Oklahoma City Thunder;97;Indiana Pacers;75
Memphis Grizzlies;84;Los Angeles Lakers;86
Toronto Raptors;95;Minnesota Timberwolves;93
Milwaukee Bucks;83;New York Knicks;101
Golden State Warriors;111;Phoenix Suns;107
Houston Rockets;116;Portland Trail Blazers;98
Dallas Mavericks;117;Sacramento Kings;108
New Orleans Hornets;83;Utah Jazz;95
Charlotte Bobcats;96;Brooklyn Nets;105
Houston Rockets;114;Denver Nuggets;132
Philadelphia 76ers;87;Miami Heat;106
Toronto Raptors;83;Milwaukee Bucks;100
Detroit Pistons;101;Minnesota Timberwolves;107
Atlanta Hawks;97;San Antonio Spurs;99
Indiana Pacers;85;Washington Wizards;104
Washington Wizards;96;Boston Celtics;107
Orlando Magic;85;Cleveland Cavaliers;91
Chicago Bulls;85;Detroit Pistons;99
Utah Jazz;97;Golden State Warriors;90
Los Angeles Lakers;95;Los Angeles Clippers;109
New York Knicks;125;Oklahoma City Thunder;120
New Orleans Hornets;95;Phoenix Suns;92
Dallas Mavericks;96;Portland Trail Blazers;91
Memphis Grizzlies;89;Sacramento Kings;87
Philadelphia 76ers;83;Brooklyn Nets;104
Toronto Raptors;101;Chicago Bulls;98
Minnesota Timberwolves;89;Golden State Warriors;105
Phoenix Suns;98;Houston Rockets;101
Cleveland Cavaliers;94;Indiana Pacers;99
New Orleans Hornets;96;Los Angeles Lakers;104
Charlotte Bobcats;75;Memphis Grizzlies;94
Milwaukee Bucks;83;Miami Heat;94
Washington Wizards;99;New York Knicks;120
Oklahoma City Thunder;90;Utah Jazz;80
Brooklyn Nets;101;Boston Celtics;93
Detroit Pistons;111;Cleveland Cavaliers;104
Phoenix Suns;102;Dallas Mavericks;91
San Antonio Spurs;86;Denver Nuggets;96
Minnesota Timberwolves;95;Los Angeles Clippers;111
Milwaukee Bucks;103;Orlando Magic;113
Atlanta Hawks;124;Philadelphia 76ers;101
Los Angeles Lakers;113;Portland Trail Blazers;106
New Orleans Hornets;110;Sacramento Kings;121
Miami Heat;103;Washington Wizards;98
New York Knicks;111;Chicago Bulls;118
Oklahoma City Thunder;116;Golden State Warriors;97
Milwaukee Bucks;104;Atlanta Hawks;109
New York Knicks;101;Cleveland Cavaliers;91
Denver Nuggets;105;Dallas Mavericks;108
Charlotte Bobcats;93;Detroit Pistons;113
Memphis Grizzlies;82;Houston Rockets;78
Brooklyn Nets;117;Indiana Pacers;109
Golden State Warriors;116;Los Angeles Lakers;118
Boston Celtics;101;Miami Heat;109
Los Angeles Clippers;96;New Orleans Hornets;93
Oklahoma City Thunder;106;Portland Trail Blazers;90
Sacramento Kings;101;San Antonio Spurs;108
Chicago Bulls;88;Toronto Raptors;97
Minnesota Timberwolves;100;Utah Jazz;107
Philadelphia 76ers;97;Washington Wizards;86
Milwaukee Bucks;85;Charlotte Bobcats;95
Los Angeles Clippers;91;Memphis Grizzlies;87
Phoenix Suns;93;Minnesota Timberwolves;105
Boston Celtics;120;Orlando Magic;88
